"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.624489750E0,1.796264648E-2,1.477427673E-1,9.748328247E0,9.749464303E0
2.634529750E0,2.993774414E-2,1.628613281E-1,9.746681671E0,9.748088206E0
2.644569750E0,2.484832764E-2,1.555265808E-1,9.745783539E0,9.747056106E0
2.654610750E0,3.188369751E-2,1.531315613E-1,9.744885406E0,9.746140643E0
2.664650750E0,2.859054565E-2,1.571731567E-1,9.738448792E0,9.739759016E0
2.674690750E0,2.395019531E-2,1.546284485E-1,9.737101593E0,9.738358743E0
2.684730750E0,2.469863892E-2,1.568737793E-1,9.742640076E0,9.743934270E0
2.694770750E0,3.113525391E-2,1.546284485E-1,9.738748169E0,9.740025424E0
2.704811750E0,2.948867798E-2,1.504371643E-1,9.745484161E0,9.746689821E0
2.714851750E0,2.903961182E-2,1.472937012E-1,9.751322021E0,9.752477629E0
2.724891750E0,3.053649902E-2,1.544787598E-1,9.737550659E0,9.738823800E0
2.734931750E0,2.903961182E-2,1.532812500E-1,9.752818909E0,9.754066593E0
2.744971750E0,1.781295776E-2,1.496887207E-1,9.746831360E0,9.747997003E0
2.755012750E0,2.664459229E-2,1.562750244E-1,9.746981049E0,9.748270174E0
2.765052750E0,2.020797729E-2,1.591191101E-1,9.740394745E0,9.741715303E0
2.775092750E0,2.260299683E-2,1.528321838E-1,9.744136963E0,9.745361652E0
2.785132750E0,2.454895020E-2,1.495390320E-1,9.749376068E0,9.750553743E0
2.795173750E0,2.754272461E-2,1.468446350E-1,9.750124512E0,9.751269145E0
2.805213750E0,2.020797729E-2,1.481918335E-1,9.746382294E0,9.747529789E0
2.815253750E0,2.335144043E-2,1.511856079E-1,9.748477936E0,9.749678171E0
2.825293750E0,3.083587646E-2,1.552272034E-1,9.743388519E0,9.744673734E0
2.835333750E0,2.739303589E-2,1.574725342E-1,9.746831360E0,9.748141850E0
2.845374750E0,2.335144043E-2,1.510359192E-1,9.745334473E0,9.746532774E0
2.855414750E0,2.888992310E-2,1.546284485E-1,9.755363617E0,9.756631790E0
